subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
1,not studied,1,0,1,0.0,59,59,1,4,9,3.91695055022137,0.0,4,0,fNS
1,cfs,0,1,0,0.0,60,60,3,1,8,2.41692489356501,1.41689350188244,4,3,3
1,word,0,0,1,0.0,61,61,2,1,8,3.91695055022137,3.91695628524758,4,3,3
1,binocular,1,1,0,0.0,62,62,4,8,8,3.91694753180491,3.91694800229743,4,3,3
1,word,1,1,1,1.0,63,63,2,1,1,3.91695477603935,3.91695055027958,4,3,3
1,binocular,1,1,1,1.0,64,64,4,1,8,3.91694904101314,3.91694994654972,4,3,3
1,not studied,0,0,1,0.0,65,65,1,9,9,0.0,0.0,5,fNS,fNS
1,binocular,1,1,0,0.0,66,66,4,1,1,3.91695236129453,3.91694753180491,5,3,3
1,binocular,1,1,0,0.0,67,67,4,1,8,3.91696081293048,3.9169825456338,5,3,3
1,not studied,0,0,1,0.0,68,68,1,4,9,3.91697047185153,0.0,5,0,fNS
1,word,1,1,1,1.0,69,69,2,1,1,3.91695628524758,3.91695900185732,5,3,3
1,cfs,1,0,0,1.0,70,70,3,8,8,1.83357661898481,1.50022849533707,5,3,3
1,word,0,0,0,1.0,71,71,2,1,8,3.91695900185732,3.91694753180491,5,3,3
1,cfs,1,1,0,0.0,72,72,3,8,1,2.00025475572329,1.50025022804039,5,3,3
1,cfs,1,1,0,0.0,73,73,3,8,8,1.25022566330154,1.25022623146651,5,3,3
1,cfs,1,1,0,0.0,74,74,3,8,8,1.66690874495544,2.16691870579962,5,3,3
1,binocular,1,1,1,1.0,75,75,4,1,1,3.9169632276753,3.9169508520863,5,3,3
1,not studied,0,0,0,1.0,76,76,1,9,9,0.0,0.0,5,fNS,fNS
1,word,0,1,0,0.0,77,77,2,1,1,3.91694662626833,3.91695417230949,5,3,3
1,binocular,1,1,0,0.0,78,78,4,8,8,3.91697137738811,3.91695205948781,5,3,3
1,word,0,0,0,1.0,79,79,2,1,8,3.91695041704224,3.91694873920642,5,3,3
1,not studied,1,1,0,0.0,80,80,1,4,9,3.91694270231528,0.0,5,0,fNS
1,word,1,1,1,1.0,81,81,2,1,1,3.9169520594296,3.91695477603935,6,3,3
1,not studied,0,0,1,0.0,82,82,1,9,9,0.0,0.0,6,fNS,fNS
1,binocular,1,1,0,0.0,83,83,4,8,1,3.91694602259668,3.91696473688353,6,3,3
1,binocular,0,1,0,0.0,84,84,4,8,1,3.91695205948781,3.91694783366984,6,3,3
1,cfs,0,1,1,1.0,85,85,3,1,1,1.41689923690865,1.41690074605867,6,3,3
1,cfs,1,1,0,0.0,86,86,3,1,1,1.50025596306659,1.25022562785307,6,3,3
